Client name,Registrant name,Location of Client,Description of service (when available)
Consejo de Promocion Turistica de Mexico S.A. de C.V,Ogilvy Public Relations Worldwide,Mexico,
Tourism Fiji,Ogilvy Public Relations Worldwide,Fiji,
Embassy of Chile,Ogilvy Public Relations Worldwide,Chile,
Consejo de Promocion Turistica de Mexico S.A. de C.V,Ogilvy Public Relations Worldwide,Mexico,
Tourism Fiji,Ogilvy Public Relations Worldwide,Fiji,
Embassy of Chile,Ogilvy Public Relations Worldwide,Chile,
Moroccan American Center for Policy,"Nurnberger & Associates, Inc.",Morocco,
Direction des Constructions Navales Services,American Business Development Group,France,
Enterprise Estonia,Enterprise Estonia in San Jose,Estonia,
"Department of Trade & Industry, Republic of the Philippines","Sorini, Samet & Associates LLC",Philippines,
"Ministry of Foreign Affairs, Kingdom of Bahrain","Sorini, Samet & Associates LLC",Bahrain,
"Department of Trade & Industry, Republic of the Philippines","Sorini, Samet & Associates LLC",Philippines,
"Ministry of Foreign Affairs, Kingdom of Bahrain","Sorini, Samet & Associates LLC",Bahrain,
Flanders Tourism Board,"Tourist Office for Flanders, Belgium",Belgium,
Taipei Economic And Cultural Representative Office in the United States,The Cedar Group LLC,Taiwan,
Embassy of the Republic of Korea to the United States,Covington & Burling LLP,Korea,
Embassy of New Zealand,Covington & Burling LLP,New Zealand,
Embassy of the Grand Duchy of Luxembourg,Covington & Burling LLP,Luxembourg,
Government of Spain,Covington & Burling LLP,Spain,
Embassy of the Republic of Korea to the United States,Covington & Burling LLP,Korea,
Embassy of New Zealand,Covington & Burling LLP,New Zealand,
Embassy of the Grand Duchy of Luxembourg,Covington & Burling LLP,Luxembourg,
Government of Spain,Covington & Burling LLP,Spain,
Embassy of the Republic of Korea to the United States,Covington & Burling LLP,Korea,
Embassy of New Zealand,Covington & Burling LLP,New Zealand,
Embassy of the Grand Duchy of Luxembourg,Covington & Burling LLP,Luxembourg,
Government of Spain,Covington & Burling LLP,Spain,
Embassy of the Republic of Korea to the United States,Covington & Burling LLP,Korea,
Embassy of New Zealand,Covington & Burling LLP,New Zealand,
Embassy of the Grand Duchy of Luxembourg,Covington & Burling LLP,Luxembourg,
Government of Spain,Covington & Burling LLP,Spain,
The Italian Government And/or Political Party Under Thereof,Amato Libero Berard,Italy,
Embassy Of The Islamic Republic Of Pakistan,"Locke Lord Strategies, L.P.",Pakistan,
Republic of the Marshall Islands,"Independent Diplomat, Inc.",Marshall Islands,
Government of the Republic of Somaliland,"Independent Diplomat, Inc.",Somalia,
Government of Southern Sudan (GoSS),"Independent Diplomat, Inc.",South Sudan,
Delegation of Catalonia to the United States of America,"Independent Diplomat, Inc.",Catalonia,
US Office of the National Coalition of Syrian Revolution and Opposition Forces (Syrian Coalition),"Independent Diplomat, Inc.",Syria,
Government of the Sahrawi Arab Democratic Republic (SADR),"Independent Diplomat, Inc.",Morocco,
Government of the Republic of South Sudan (GRSS),"Independent Diplomat, Inc.",South Sudan,
Republic of the Marshall Islands,"Independent Diplomat, Inc.",Marshall Islands,
Government of the Republic of Somaliland,"Independent Diplomat, Inc.",Somalia,
Government of Southern Sudan (GoSS),"Independent Diplomat, Inc.",South Sudan,
Delegation of Catalonia to the United States of America,"Independent Diplomat, Inc.",Catalonia,
US Office of the National Coalition of Syrian Revolution and Opposition Forces (Syrian Coalition),"Independent Diplomat, Inc.",Syria,
Government of the Sahrawi Arab Democratic Republic (SADR),"Independent Diplomat, Inc.",Morocco,
Government of the Republic of South Sudan (GRSS),"Independent Diplomat, Inc.",South Sudan,
Republic of the Marshall Islands,"Independent Diplomat, Inc.",Marshall Islands,
Government of the Republic of Somaliland,"Independent Diplomat, Inc.",Somalia,
Government of Southern Sudan (GoSS),"Independent Diplomat, Inc.",South Sudan,
Delegation of Catalonia to the United States of America,"Independent Diplomat, Inc.",Catalonia,
US Office of the National Coalition of Syrian Revolution and Opposition Forces (Syrian Coalition),"Independent Diplomat, Inc.",Syria,
Government of the Sahrawi Arab Democratic Republic (SADR),"Independent Diplomat, Inc.",Morocco,
Government of the Republic of South Sudan (GRSS),"Independent Diplomat, Inc.",South Sudan,
Republic of the Marshall Islands,"Independent Diplomat, Inc.",Marshall Islands,
Government of the Republic of Somaliland,"Independent Diplomat, Inc.",Somalia,
Government of Southern Sudan (GoSS),"Independent Diplomat, Inc.",South Sudan,
Delegation of Catalonia to the United States of America,"Independent Diplomat, Inc.",Catalonia,
US Office of the National Coalition of Syrian Revolution and Opposition Forces (Syrian Coalition),"Independent Diplomat, Inc.",Syria,
Government of the Sahrawi Arab Democratic Republic (SADR),"Independent Diplomat, Inc.",Morocco,
Government of the Republic of South Sudan (GRSS),"Independent Diplomat, Inc.",South Sudan,
Republic of the Marshall Islands,"Independent Diplomat, Inc.",Marshall Islands,
Government of the Republic of Somaliland,"Independent Diplomat, Inc.",Somalia,
Government of Southern Sudan (GoSS),"Independent Diplomat, Inc.",South Sudan,
Delegation of Catalonia to the United States of America,"Independent Diplomat, Inc.",Catalonia,
US Office of the National Coalition of Syrian Revolution and Opposition Forces (Syrian Coalition),"Independent Diplomat, Inc.",Syria,
Government of the Sahrawi Arab Democratic Republic (SADR),"Independent Diplomat, Inc.",Morocco,
Government of the Republic of South Sudan (GRSS),"Independent Diplomat, Inc.",South Sudan,
Republic of the Marshall Islands,"Independent Diplomat, Inc.",Marshall Islands,
Government of the Republic of Somaliland,"Independent Diplomat, Inc.",Somalia,
Government of Southern Sudan (GoSS),"Independent Diplomat, Inc.",South Sudan,
Delegation of Catalonia to the United States of America,"Independent Diplomat, Inc.",Catalonia,
US Office of the National Coalition of Syrian Revolution and Opposition Forces (Syrian Coalition),"Independent Diplomat, Inc.",Syria,
Government of the Sahrawi Arab Democratic Republic (SADR),"Independent Diplomat, Inc.",Morocco,
Government of the Republic of South Sudan (GRSS),"Independent Diplomat, Inc.",South Sudan,
Republic of the Marshall Islands,"Independent Diplomat, Inc.",Marshall Islands,
Government of the Republic of Somaliland,"Independent Diplomat, Inc.",Somalia,
Government of Southern Sudan (GoSS),"Independent Diplomat, Inc.",South Sudan,
Delegation of Catalonia to the United States of America,"Independent Diplomat, Inc.",Catalonia,
US Office of the National Coalition of Syrian Revolution and Opposition Forces (Syrian Coalition),"Independent Diplomat, Inc.",Syria,
Government of the Sahrawi Arab Democratic Republic (SADR),"Independent Diplomat, Inc.",Morocco,
Government of the Republic of South Sudan (GRSS),"Independent Diplomat, Inc.",South Sudan,
Government of Colombia,The Fratelli Group,Colombia,
Embassy of Mexico,"Brownstein Hyatt Farber Schreck, LLP",Mexico,
Tourism Promotion of Chile,"Spring, O'Brien & Co., Inc.",Chile,
Ministry of Tourism St. Vincent & The Grenadines,"Spring, O'Brien & Co., Inc.",Morocco,
Tourism Promotion of Chile,"Spring, O'Brien & Co., Inc.",Chile,
Ministry of Tourism St. Vincent & The Grenadines,"Spring, O'Brien & Co., Inc.",Morocco,
Govt. of India Ministry of Tourism,India Tourism,India,
Taipei Economic And Cultural Representative Office in the United States,"Gephardt Group Government Affairs, LLC",Taiwan,
Government of Turkey,"Gephardt Group Government Affairs, LLC",Turkey,
Government of the Republic of Korea,"Gephardt Group Government Affairs, LLC",South Korea,
Taipei Economic And Cultural Representative Office in the United States,"Gephardt Group Government Affairs, LLC",Taiwan,
Government of Turkey,"Gephardt Group Government Affairs, LLC",Turkey,
Government of the Republic of Korea,"Gephardt Group Government Affairs, LLC",South Korea,
Taipei Economic And Cultural Representative Office in the United States,"Gephardt Group Government Affairs, LLC",Taiwan,
Government of Turkey,"Gephardt Group Government Affairs, LLC",Turkey,
Government of the Republic of Korea,"Gephardt Group Government Affairs, LLC",South Korea,
Government of the Kingdom of Morocco,BLJ Worldwide LTD (Brown Lloyd James),Morocco,
Republic of Ecuador,BLJ Worldwide LTD (Brown Lloyd James),Ecuador,
Office of the President of Ecuador (Yasuni-ITT),BLJ Worldwide LTD (Brown Lloyd James),Ecuador,
The Shafallah Center for Children with Special Needs ,BLJ Worldwide LTD (Brown Lloyd James),Qatar,
The China-US Exchange Foundation,BLJ Worldwide LTD (Brown Lloyd James),China,
Government of the Kingdom of Morocco,BLJ Worldwide LTD (Brown Lloyd James),Morocco,
Republic of Ecuador,BLJ Worldwide LTD (Brown Lloyd James),Ecuador,
Office of the President of Ecuador (Yasuni-ITT),BLJ Worldwide LTD (Brown Lloyd James),Ecuador,
The Shafallah Center for Children with Special Needs ,BLJ Worldwide LTD (Brown Lloyd James),Qatar,
The China-US Exchange Foundation,BLJ Worldwide LTD (Brown Lloyd James),China,
Government of the Kingdom of Morocco,BLJ Worldwide LTD (Brown Lloyd James),Morocco,
Republic of Ecuador,BLJ Worldwide LTD (Brown Lloyd James),Ecuador,
Office of the President of Ecuador (Yasuni-ITT),BLJ Worldwide LTD (Brown Lloyd James),Ecuador,
The Shafallah Center for Children with Special Needs ,BLJ Worldwide LTD (Brown Lloyd James),Qatar,
The China-US Exchange Foundation,BLJ Worldwide LTD (Brown Lloyd James),China,
Government of the Kingdom of Morocco,BLJ Worldwide LTD (Brown Lloyd James),Morocco,
Republic of Ecuador,BLJ Worldwide LTD (Brown Lloyd James),Ecuador,
Office of the President of Ecuador (Yasuni-ITT),BLJ Worldwide LTD (Brown Lloyd James),Ecuador,
The Shafallah Center for Children with Special Needs ,BLJ Worldwide LTD (Brown Lloyd James),Qatar,
The China-US Exchange Foundation,BLJ Worldwide LTD (Brown Lloyd James),China,
Government of the Kingdom of Morocco,BLJ Worldwide LTD (Brown Lloyd James),Morocco,
Republic of Ecuador,BLJ Worldwide LTD (Brown Lloyd James),Ecuador,
Office of the President of Ecuador (Yasuni-ITT),BLJ Worldwide LTD (Brown Lloyd James),Ecuador,
The Shafallah Center for Children with Special Needs ,BLJ Worldwide LTD (Brown Lloyd James),Qatar,
The China-US Exchange Foundation,BLJ Worldwide LTD (Brown Lloyd James),China,
Moroccan American Center for Policy,Avalanche Strategic Communications,Morocco,
Embassy of the Republic of Turkey,30 Point Strategies,Turkey,
Embassy of the Republic of Serbia,30 Point Strategies,Serbia,
Embassy of the Republic of Turkey,30 Point Strategies,Turkey,
Embassy of the Republic of Serbia,30 Point Strategies,Serbia,
Oromo Liberation Front (OLF),Oromo Liberation Front - USA,Ethiopia,
Oromo Liberation Front (OLF),Oromo Liberation Front Foreign Relations Office In,Ethiopia,
Government of the Kingdom of Morocco,"LeClairRyan, A Professional Corporation",Morocco,
Government Of Montenegro Ministry Of Foreign Affairs,Paige E Reffe,Montenegro,
Moroccan American Center for Policy,Vision Americas L.L.C.,Morocco,
JETRO New York,"Park Strategies, LLC",Japan,
Government of Aruba,Caribbean Tourism Development Company,Aruba,
Caribbean Tourism Development Company,Caribbean Tourism Development Company,Barbados,
Government of Aruba,Caribbean Tourism Development Company,Aruba,
Caribbean Tourism Development Company,Caribbean Tourism Development Company,Barbados,
Princess Haya Bint Al Hussein,"Public Strategies, Inc.",United Arab Emirates,
Turkish Ministry of Foreign Affairs,"Public Strategies, Inc.",Turkey,
Princess Haya Bint Al Hussein,"Public Strategies, Inc.",United Arab Emirates,
Turkish Ministry of Foreign Affairs,"Public Strategies, Inc.",Turkey,
Gazprom Export,Clark & Weinstock,Russia,
The Consulate General of the Republic of Azerbaijan,"Tool Shed Group, LLC",Azerbaijan,
The Government of United Mexican States,Gregory J Kuykendall,Mexico,
Government of the Republic of Cyprus,"Podesta Group, Inc.",Cyprus,
Hong Kong Trade Development Council,"Podesta Group, Inc.",Hong Kong,
Government of India,"Podesta Group, Inc.",India,
Embassy Of Japan,"Podesta Group, Inc.",Japan,
Embassy of Vietnam,"Podesta Group, Inc.",Vietnam,
Government of the Arab Republic of Egypt,"Podesta Group, Inc.",Egypt,
Republic of Iraq,"Podesta Group, Inc.",Iraq,
The Embassy of the Republic of Azerbaijan,"Podesta Group, Inc.",Azerbaijan,
The Government of Albania,"Podesta Group, Inc.",China,
National Security Council of Georgia,"Podesta Group, Inc.",Georgia,
Government of the Republic of Korea,"Podesta Group, Inc.",South Korea,
Somali Republic,"Podesta Group, Inc.",Somalia,
Federal Republic of Somalia,"Podesta Group, Inc.",Somalia,
Republic of Kosova,"Podesta Group, Inc.",Kosovo,
Government of the Republic of Cyprus,"Podesta Group, Inc.",Cyprus,
Hong Kong Trade Development Council,"Podesta Group, Inc.",Hong Kong,
Government of India,"Podesta Group, Inc.",India,
Embassy Of Japan,"Podesta Group, Inc.",Japan,
Embassy of Vietnam,"Podesta Group, Inc.",Vietnam,
Government of the Arab Republic of Egypt,"Podesta Group, Inc.",Egypt,
Republic of Iraq,"Podesta Group, Inc.",Iraq,
The Embassy of the Republic of Azerbaijan,"Podesta Group, Inc.",Azerbaijan,
The Government of Albania,"Podesta Group, Inc.",China,
National Security Council of Georgia,"Podesta Group, Inc.",Georgia,
Government of the Republic of Korea,"Podesta Group, Inc.",South Korea,
Somali Republic,"Podesta Group, Inc.",Somalia,
Federal Republic of Somalia,"Podesta Group, Inc.",Somalia,
Republic of Kosova,"Podesta Group, Inc.",Kosovo,
Government of the Republic of Cyprus,"Podesta Group, Inc.",Cyprus,
Hong Kong Trade Development Council,"Podesta Group, Inc.",Hong Kong,
Government of India,"Podesta Group, Inc.",India,
Embassy Of Japan,"Podesta Group, Inc.",Japan,
Embassy of Vietnam,"Podesta Group, Inc.",Vietnam,
Government of the Arab Republic of Egypt,"Podesta Group, Inc.",Egypt,
Republic of Iraq,"Podesta Group, Inc.",Iraq,
The Embassy of the Republic of Azerbaijan,"Podesta Group, Inc.",Azerbaijan,
The Government of Albania,"Podesta Group, Inc.",China,
National Security Council of Georgia,"Podesta Group, Inc.",Georgia,
Government of the Republic of Korea,"Podesta Group, Inc.",South Korea,
Somali Republic,"Podesta Group, Inc.",Somalia,
Federal Republic of Somalia,"Podesta Group, Inc.",Somalia,
Republic of Kosova,"Podesta Group, Inc.",Kosovo,
Government of the Republic of Cyprus,"Podesta Group, Inc.",Cyprus,
Hong Kong Trade Development Council,"Podesta Group, Inc.",Hong Kong,
Government of India,"Podesta Group, Inc.",India,
Embassy Of Japan,"Podesta Group, Inc.",Japan,
Embassy of Vietnam,"Podesta Group, Inc.",Vietnam,
Government of the Arab Republic of Egypt,"Podesta Group, Inc.",Egypt,
Republic of Iraq,"Podesta Group, Inc.",Iraq,
The Embassy of the Republic of Azerbaijan,"Podesta Group, Inc.",Azerbaijan,
The Government of Albania,"Podesta Group, Inc.",China,
National Security Council of Georgia,"Podesta Group, Inc.",Georgia,
Government of the Republic of Korea,"Podesta Group, Inc.",South Korea,
Somali Republic,"Podesta Group, Inc.",Somalia,
Federal Republic of Somalia,"Podesta Group, Inc.",Somalia,
Republic of Kosova,"Podesta Group, Inc.",Kosovo,
Government of the Republic of Cyprus,"Podesta Group, Inc.",Cyprus,
Hong Kong Trade Development Council,"Podesta Group, Inc.",Hong Kong,
Government of India,"Podesta Group, Inc.",India,
Embassy Of Japan,"Podesta Group, Inc.",Japan,
Embassy of Vietnam,"Podesta Group, Inc.",Vietnam,
Government of the Arab Republic of Egypt,"Podesta Group, Inc.",Egypt,
Republic of Iraq,"Podesta Group, Inc.",Iraq,
The Embassy of the Republic of Azerbaijan,"Podesta Group, Inc.",Azerbaijan,
The Government of Albania,"Podesta Group, Inc.",China,
National Security Council of Georgia,"Podesta Group, Inc.",Georgia,
Government of the Republic of Korea,"Podesta Group, Inc.",South Korea,
Somali Republic,"Podesta Group, Inc.",Somalia,
Federal Republic of Somalia,"Podesta Group, Inc.",Somalia,
Republic of Kosova,"Podesta Group, Inc.",Kosovo,
Government of the Republic of Cyprus,"Podesta Group, Inc.",Cyprus,
Hong Kong Trade Development Council,"Podesta Group, Inc.",Hong Kong,
Government of India,"Podesta Group, Inc.",India,
Embassy Of Japan,"Podesta Group, Inc.",Japan,
Embassy of Vietnam,"Podesta Group, Inc.",Vietnam,
Government of the Arab Republic of Egypt,"Podesta Group, Inc.",Egypt,
Republic of Iraq,"Podesta Group, Inc.",Iraq,
The Embassy of the Republic of Azerbaijan,"Podesta Group, Inc.",Azerbaijan,
The Government of Albania,"Podesta Group, Inc.",China,
National Security Council of Georgia,"Podesta Group, Inc.",Georgia,
Government of the Republic of Korea,"Podesta Group, Inc.",South Korea,
Somali Republic,"Podesta Group, Inc.",Somalia,
Federal Republic of Somalia,"Podesta Group, Inc.",Somalia,
Republic of Kosova,"Podesta Group, Inc.",Kosovo,
Government of the Republic of Cyprus,"Podesta Group, Inc.",Cyprus,
Hong Kong Trade Development Council,"Podesta Group, Inc.",Hong Kong,
Government of India,"Podesta Group, Inc.",India,
Embassy Of Japan,"Podesta Group, Inc.",Japan,
Embassy of Vietnam,"Podesta Group, Inc.",Vietnam,
Government of the Arab Republic of Egypt,"Podesta Group, Inc.",Egypt,
Republic of Iraq,"Podesta Group, Inc.",Iraq,
The Embassy of the Republic of Azerbaijan,"Podesta Group, Inc.",Azerbaijan,
The Government of Albania,"Podesta Group, Inc.",China,
National Security Council of Georgia,"Podesta Group, Inc.",Georgia,
Government of the Republic of Korea,"Podesta Group, Inc.",South Korea,
Somali Republic,"Podesta Group, Inc.",Somalia,
Federal Republic of Somalia,"Podesta Group, Inc.",Somalia,
Republic of Kosova,"Podesta Group, Inc.",Kosovo,
Government of the Republic of Cyprus,"Podesta Group, Inc.",Cyprus,
Hong Kong Trade Development Council,"Podesta Group, Inc.",Hong Kong,
Government of India,"Podesta Group, Inc.",India,
Embassy Of Japan,"Podesta Group, Inc.",Japan,
Embassy of Vietnam,"Podesta Group, Inc.",Vietnam,
Government of the Arab Republic of Egypt,"Podesta Group, Inc.",Egypt,
Republic of Iraq,"Podesta Group, Inc.",Iraq,
The Embassy of the Republic of Azerbaijan,"Podesta Group, Inc.",Azerbaijan,
The Government of Albania,"Podesta Group, Inc.",China,
National Security Council of Georgia,"Podesta Group, Inc.",Georgia,
Government of the Republic of Korea,"Podesta Group, Inc.",South Korea,
Somali Republic,"Podesta Group, Inc.",Somalia,
Federal Republic of Somalia,"Podesta Group, Inc.",Somalia,
Republic of Kosova,"Podesta Group, Inc.",Kosovo,
Government of the Republic of Cyprus,"Podesta Group, Inc.",Cyprus,
Hong Kong Trade Development Council,"Podesta Group, Inc.",Hong Kong,
Government of India,"Podesta Group, Inc.",India,
Embassy Of Japan,"Podesta Group, Inc.",Japan,
Embassy of Vietnam,"Podesta Group, Inc.",Vietnam,
Government of the Arab Republic of Egypt,"Podesta Group, Inc.",Egypt,
Republic of Iraq,"Podesta Group, Inc.",Iraq,
The Embassy of the Republic of Azerbaijan,"Podesta Group, Inc.",Azerbaijan,
The Government of Albania,"Podesta Group, Inc.",China,
National Security Council of Georgia,"Podesta Group, Inc.",Georgia,
Government of the Republic of Korea,"Podesta Group, Inc.",South Korea,
Somali Republic,"Podesta Group, Inc.",Somalia,
Federal Republic of Somalia,"Podesta Group, Inc.",Somalia,
Republic of Kosova,"Podesta Group, Inc.",Kosovo,
Government of the Republic of Cyprus,"Podesta Group, Inc.",Cyprus,
Hong Kong Trade Development Council,"Podesta Group, Inc.",Hong Kong,
Government of India,"Podesta Group, Inc.",India,
Embassy Of Japan,"Podesta Group, Inc.",Japan,
Embassy of Vietnam,"Podesta Group, Inc.",Vietnam,
Government of the Arab Republic of Egypt,"Podesta Group, Inc.",Egypt,
Republic of Iraq,"Podesta Group, Inc.",Iraq,
The Embassy of the Republic of Azerbaijan,"Podesta Group, Inc.",Azerbaijan,
The Government of Albania,"Podesta Group, Inc.",China,
National Security Council of Georgia,"Podesta Group, Inc.",Georgia,
Government of the Republic of Korea,"Podesta Group, Inc.",South Korea,
Somali Republic,"Podesta Group, Inc.",Somalia,
Federal Republic of Somalia,"Podesta Group, Inc.",Somalia,
Republic of Kosova,"Podesta Group, Inc.",Kosovo,
Government of the Republic of Cyprus,"Podesta Group, Inc.",Cyprus,
Hong Kong Trade Development Council,"Podesta Group, Inc.",Hong Kong,
Government of India,"Podesta Group, Inc.",India,
Embassy Of Japan,"Podesta Group, Inc.",Japan,
Embassy of Vietnam,"Podesta Group, Inc.",Vietnam,
Government of the Arab Republic of Egypt,"Podesta Group, Inc.",Egypt,
Republic of Iraq,"Podesta Group, Inc.",Iraq,
The Embassy of the Republic of Azerbaijan,"Podesta Group, Inc.",Azerbaijan,
The Government of Albania,"Podesta Group, Inc.",China,
National Security Council of Georgia,"Podesta Group, Inc.",Georgia,
Government of the Republic of Korea,"Podesta Group, Inc.",South Korea,
Somali Republic,"Podesta Group, Inc.",Somalia,
Federal Republic of Somalia,"Podesta Group, Inc.",Somalia,
Republic of Kosova,"Podesta Group, Inc.",Kosovo,
Government of the Republic of Cyprus,"Podesta Group, Inc.",Cyprus,
Hong Kong Trade Development Council,"Podesta Group, Inc.",Hong Kong,
Government of India,"Podesta Group, Inc.",India,
Embassy Of Japan,"Podesta Group, Inc.",Japan,
Embassy of Vietnam,"Podesta Group, Inc.",Vietnam,
Government of the Arab Republic of Egypt,"Podesta Group, Inc.",Egypt,
Republic of Iraq,"Podesta Group, Inc.",Iraq,
The Embassy of the Republic of Azerbaijan,"Podesta Group, Inc.",Azerbaijan,
The Government of Albania,"Podesta Group, Inc.",China,
National Security Council of Georgia,"Podesta Group, Inc.",Georgia,
Government of the Republic of Korea,"Podesta Group, Inc.",South Korea,
Somali Republic,"Podesta Group, Inc.",Somalia,
Federal Republic of Somalia,"Podesta Group, Inc.",Somalia,
Republic of Kosova,"Podesta Group, Inc.",Kosovo,
Government of the Republic of Cyprus,"Podesta Group, Inc.",Cyprus,
Hong Kong Trade Development Council,"Podesta Group, Inc.",Hong Kong,
Government of India,"Podesta Group, Inc.",India,
Embassy Of Japan,"Podesta Group, Inc.",Japan,
Embassy of Vietnam,"Podesta Group, Inc.",Vietnam,
Government of the Arab Republic of Egypt,"Podesta Group, Inc.",Egypt,
Republic of Iraq,"Podesta Group, Inc.",Iraq,
The Embassy of the Republic of Azerbaijan,"Podesta Group, Inc.",Azerbaijan,
The Government of Albania,"Podesta Group, Inc.",China,
National Security Council of Georgia,"Podesta Group, Inc.",Georgia,
Government of the Republic of Korea,"Podesta Group, Inc.",South Korea,
Somali Republic,"Podesta Group, Inc.",Somalia,
Federal Republic of Somalia,"Podesta Group, Inc.",Somalia,
Republic of Kosova,"Podesta Group, Inc.",Kosovo,
Government of the Republic of Cyprus,"Podesta Group, Inc.",Cyprus,
Hong Kong Trade Development Council,"Podesta Group, Inc.",Hong Kong,
Government of India,"Podesta Group, Inc.",India,
Embassy Of Japan,"Podesta Group, Inc.",Japan,
Embassy of Vietnam,"Podesta Group, Inc.",Vietnam,
Government of the Arab Republic of Egypt,"Podesta Group, Inc.",Egypt,
Republic of Iraq,"Podesta Group, Inc.",Iraq,
The Embassy of the Republic of Azerbaijan,"Podesta Group, Inc.",Azerbaijan,
The Government of Albania,"Podesta Group, Inc.",China,
National Security Council of Georgia,"Podesta Group, Inc.",Georgia,
Government of the Republic of Korea,"Podesta Group, Inc.",South Korea,
Somali Republic,"Podesta Group, Inc.",Somalia,
Federal Republic of Somalia,"Podesta Group, Inc.",Somalia,
Republic of Kosova,"Podesta Group, Inc.",Kosovo,
Government of Alberta,Nelson Mullins Riley & Scarborough LLP,Canada,
Province of Saskatchewan,Nelson Mullins Riley & Scarborough LLP,Canada,
Government of Yukon,Nelson Mullins Riley & Scarborough LLP,Canada,
Government of Alberta,Nelson Mullins Riley & Scarborough LLP,Canada,
Province of Saskatchewan,Nelson Mullins Riley & Scarborough LLP,Canada,
Government of Yukon,Nelson Mullins Riley & Scarborough LLP,Canada,
Government of Alberta,Nelson Mullins Riley & Scarborough LLP,Canada,
Province of Saskatchewan,Nelson Mullins Riley & Scarborough LLP,Canada,
Government of Yukon,Nelson Mullins Riley & Scarborough LLP,Canada,
Hong Kong Trade Development Council,Venable LLP,Hong Kong,
Gazprom Export,Venable LLP,Russia,
"Sheikh Khalid Bin Saqr Al Qasimi, Crown Prince and Deputy Ruler, Ras Al Khaimah, United Arab Emirate",Venable LLP,United Arab Emirates,
Hong Kong Trade Development Council,Venable LLP,Hong Kong,
Gazprom Export,Venable LLP,Russia,
"Sheikh Khalid Bin Saqr Al Qasimi, Crown Prince and Deputy Ruler, Ras Al Khaimah, United Arab Emirate",Venable LLP,United Arab Emirates,
Hong Kong Trade Development Council,Venable LLP,Hong Kong,
Gazprom Export,Venable LLP,Russia,
"Sheikh Khalid Bin Saqr Al Qasimi, Crown Prince and Deputy Ruler, Ras Al Khaimah, United Arab Emirate",Venable LLP,United Arab Emirates,
Embassy of Mexico,"The Raben Group, LLC",Mexico,
Mr. Oleg Deripaska,Endeavor Group,Russia,
Foreign Minister Sergey Lavrov Ministry of Foreign Affairs of the Russian Federation,Endeavor Group,Russia,
Mr. Oleg Deripaska,Endeavor Group,Russia,
Foreign Minister Sergey Lavrov Ministry of Foreign Affairs of the Russian Federation,Endeavor Group,Russia,
Bermuda Department of Tourism,Lou Hammond & Assoc. Inc,Bermuda,
Government of the Republika Srpksa,Picard Kentz & Rowe LLP,Republika Srpska,
"Government of Ecuador, Embassy of the Republic of Ecuador",Fenton Communications,Ecuador,
Abu Dhabi Investment Authority,Brunswick Group LLC,United Arab Emirates,
Government of the Cayman Islands (Department of Tourism),"Missy Farren & Associates, Ltd. d/b/a MFA",Cayman Islands,
Government of the Republic of Korea,Kirsten A. Chadwick,South Korea,
Federation of Industries of the State of Sao Paulo,Kirsten A. Chadwick,United Kingdom,
Government of the Republic of Korea,Kirsten A. Chadwick,South Korea,
Federation of Industries of the State of Sao Paulo,Kirsten A. Chadwick,United Kingdom,
Embassy of the Bolivarian Republic of Venezuela,Olivia Goumbri,Venezuela,
Nouvelle-Caledonie Tourisme Point Sud ,Discover the World Marketing,France,
Government of Aruba,Hills Stern & Morley LLP,Aruba,
Government of Georgia,"HDMK, LLC",Georgia,
Republic of Panama,"HDMK, LLC",Panama,
Government of Georgia,"HDMK, LLC",Georgia,
Republic of Panama,"HDMK, LLC",Panama,
Africa Travel Association,"Africa - The African Travel Association, Inc. (""Africa Travel Association"")",Africa,
Canadian Commercial Corporation,"O'Brien, Gentry & Scott, LLC (O'Brien & Associates LLC)",Canada,
Royal Norwegian Embassy,"O'Brien, Gentry & Scott, LLC (O'Brien & Associates LLC)",Norway,
Canadian Commercial Corporation,"O'Brien, Gentry & Scott, LLC (O'Brien & Associates LLC)",Canada,
Royal Norwegian Embassy,"O'Brien, Gentry & Scott, LLC (O'Brien & Associates LLC)",Norway,
Tajdeed Electoral Slate,Mark Alsalih,Iraq,
Pakistan Tehreek E Insaf,Pakistan Tehreek E Insaf NA USA,Pakistan,
Federal Republic of Somalia,"Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",Somalia,
Central Bank of Somalia,"Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",Somalia,
Roxana Grigbruta,"Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",Romania,
Federal Republic of Somalia,"Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",Somalia,
Central Bank of Somalia,"Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",Somalia,
Roxana Grigbruta,"Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",Romania,
Federal Republic of Somalia,"Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",Somalia,
Central Bank of Somalia,"Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",Somalia,
Roxana Grigbruta,"Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",Romania,
The City of Osaka Municipal Government,"City of Osaka, Chicago Office",Japan,
Embassy of the Republic of Korea,"Thomas Capitol Partners, Inc.",South Korea,
Korea International Trade Association,"Thomas Capitol Partners, Inc.",Korea,
Embassy of the Republic of Korea,"Thomas Capitol Partners, Inc.",South Korea,
